city,zip,no_of_competitors,rank_in_city,overall_rank
ABINGTON,19001.0,3,1.0,3.0
ALIQUIPPA,15001.0,3,1.0,3.0
ALLENTOWN,18101.0,2,2.0,2.0
ALLENTOWN,18102.0,1,1.0,1.0
ALLENTOWN,18103.0,4,4.0,4.0
ALLENTOWN,18104.0,4,4.0,4.0
ALLENTOWN,18106.0,3,3.0,3.0
ALLENTOWN,18109.0,2,2.0,2.0
ALLISON PARK,15101.0,2,1.0,2.0
ALLISON-PARK,15101.0,1,1.0,1.0
ALTOONA,16601.0,2,1.0,2.0
ALTOONA,16602.0,3,2.0,3.0
AMBLER,19002.0,3,1.0,3.0
AMBRIDGE,15003.0,2,1.0,2.0
ARDMORE,19003.0,2,1.0,2.0
ASHLAND,17921.0,1,1.0,1.0
ASTON,19014.0,2,1.0,2.0
AUDUBON,19407.0,1,1.0,1.0
BALA-CYNWYD,19004.0,2,1.0,2.0
BANGOR,18013.0,1,1.0,1.0
BEAVER,15009.0,1,1.0,1.0
BEAVER FALLS,15010.0,1,1.0,1.0
BEAVER-FALLS,15010.0,1,1.0,1.0
BEDFORD,15522.0,1,1.0,1.0
BELLE VERNON,15012.0,1,1.0,1.0
BELLE-VERNON,15012.0,1,1.0,1.0
BELLEFONTE,16823.0,1,1.0,1.0
BELLEVUE,15202.0,1,1.0,1.0
BENSALEM,19020.0,4,1.0,4.0
BENTLEYVILLE,15314.0,1,1.0,1.0
BERWICK,18603.0,2,1.0,2.0
BERWYN,19312.0,1,1.0,1.0
BETHEL PARK,15102.0,3,1.0,3.0
BETHEL-PARK,15102.0,1,1.0,1.0
BETHLEHEM,18015.0,2,1.0,2.0
BETHLEHEM,18017.0,3,2.0,3.0
BETHLEHEM,18018.0,4,3.0,4.0
BLAKESLEE,18610.0,1,1.0,1.0
BLANDON,19510.0,1,1.0,1.0
BLOOMSBURG,17815.0,2,1.0,2.0
BLUE-BELL,19422.0,2,1.0,2.0
BOOTHWYN,19061.0,2,1.0,2.0
BOYERTOWN,19512.0,1,1.0,1.0
BRADFORD,16701.0,1,1.0,1.0
BRISTOL,19007.0,2,1.0,2.0
BRODHEADSVILLE,18322.0,1,1.0,1.0
BROOKHAVEN,19015.0,1,1.0,1.0
BROOMALL,19008.0,3,1.0,3.0
BRYN MAWR,19010.0,1,1.0,1.0
BRYN-MAWR,19010.0,1,1.0,1.0
BURNHAM,17009.0,1,1.0,1.0
BUTLER,16001.0,5,1.0,5.0
CALIFORNIA,15419.0,1,1.0,1.0
CAMP-HILL,17011.0,1,1.0,1.0
CANONSBURG,15317.0,2,1.0,2.0
CARBONDALE,18407.0,2,1.0,2.0
CARLISLE,17013.0,5,1.0,5.0
CARNEGIE,15106.0,1,1.0,1.0
CHALFONT,18914.0,2,1.0,2.0
CHAMBERSBURG,17201.0,3,1.0,3.0
CHARLEROI,15022.0,1,1.0,1.0
CHESTER,19013.0,1,1.0,1.0
CHESTER-SPRINGS,19425.0,1,1.0,1.0
CLARION,16214.0,1,1.0,1.0
CLARKS SUMMIT,18411.0,1,1.0,1.0
CLARKS-SUMMIT,18411.0,1,1.0,1.0
CLEARFIELD,16830.0,2,1.0,2.0
CLIFTON HEIGHTS,19018.0,1,1.0,1.0
COATESVILLE,19320.0,3,1.0,3.0
COLLEGEVILLE,19426.0,1,1.0,1.0
COLUMBIA,17512.0,2,1.0,2.0
CONNELLSVILLE,15425.0,1,1.0,1.0
CONSHOHOCKEN,19428.0,1,1.0,1.0
CONWAY,15027.0,1,1.0,1.0
COOPERSBURG,18036.0,1,1.0,1.0
CORAOPOLIS,15108.0,1,1.0,1.0
CORRY,16407.0,2,1.0,2.0
CRANBERRY TWP,16066.0,1,1.0,1.0
CRANBERRY-TOWNSHIP,16066.0,2,1.0,2.0
CRESCO,18326.0,1,1.0,1.0
CROYDON,19021.0,1,1.0,1.0
DALLAS,18612.0,1,1.0,1.0
DANVILLE,17821.0,1,1.0,1.0
DICKSON-CITY,18519.0,2,1.0,2.0
DILLSBURG,17019.0,1,1.0,1.0
DOUGLASSVILLE,19518.0,2,1.0,2.0
DOVER,17315.0,1,1.0,1.0
DOWNINGTOWN,19335.0,5,1.0,5.0
DOYLESTOWN,18901.0,4,2.0,4.0
DOYLESTOWN,18902.0,1,1.0,1.0
DRESHER,19025.0,2,1.0,2.0
DREXEL HILL,19026.0,2,1.0,2.0
DREXEL-HILL,19026.0,2,1.0,2.0
DUBOIS,15801.0,1,1.0,1.0
DUNMORE,18512.0,1,1.0,1.0
EAST STROUDSBURG,18302.0,1,1.0,1.0
EAST-STROUDSBURG,18301.0,1,1.0,1.0
EAST-STROUDSBURG,18302.0,2,2.0,2.0
EASTON,18040.0,1,1.0,1.0
EASTON,18042.0,3,2.0,3.0
EASTON,18045.0,4,3.0,4.0
EBENSBURG,15931.0,1,1.0,1.0
EDINBORO,16412.0,1,1.0,1.0
EFFORT,18330.0,1,1.0,1.0
ELIZABETHTOWN,17022.0,1,1.0,1.0
ELIZABETHVILLE,17023.0,1,1.0,1.0
ELLWOOD CITY,16117.0,1,1.0,1.0
ELLWOOD-CITY,16117.0,1,1.0,1.0
EMMAUS,18049.0,1,1.0,1.0
ENOLA,17025.0,1,1.0,1.0
EPHRATA,17522.0,1,1.0,1.0
ERDENHEIM,19038.0,1,1.0,1.0
ERIE,16501.0,1,1.0,1.0
ERIE,16502.0,1,1.0,1.0
ERIE,16503.0,1,1.0,1.0
ERIE,16504.0,2,2.0,2.0
ERIE,16505.0,2,2.0,2.0
ERIE,16506.0,1,1.0,1.0
ERIE,16507.0,2,2.0,2.0
ERIE,16508.0,2,2.0,2.0
ERIE,16509.0,2,2.0,2.0
ERIE,16510.0,1,1.0,1.0
EXETER,18643.0,1,1.0,1.0
EXTON,19341.0,5,1.0,5.0
EYNON,18403.0,1,1.0,1.0
FAIRLESS HILLS,19030.0,1,1.0,1.0
FAIRLESS-HILLS,19030.0,1,1.0,1.0
FARRELL,16121.0,1,1.0,1.0
FEASTERVILLE,19053.0,1,1.0,1.0
FOLSOM,19033.0,1,1.0,1.0
FRACKVILLE,17931.0,1,1.0,1.0
FRANKLIN,16323.0,1,1.0,1.0
FRAZER,19355.0,1,1.0,1.0
FREELAND,18224.0,1,1.0,1.0
GETTYSBURG,17325.0,1,1.0,1.0
GIBSONIA,15044.0,2,1.0,2.0
GILBERTSVILLE,19525.0,1,1.0,1.0
GIRARD,16417.0,1,1.0,1.0
GLEN-MILLS,19342.0,3,1.0,3.0
GLENOLDEN,19036.0,1,1.0,1.0
GLENSHAW,15116.0,1,1.0,1.0
GLENSIDE,19038.0,1,1.0,1.0
GREENCASTLE,17225.0,1,1.0,1.0
