latitude,longitude,place_id,street,city,state,zip,phone,store_id
40.1253,-75.1156792,ChIJOzu_RU6wxokRK9PuuJJPOIU,1495 Old York Rd,Abington,PA,19001,,# 16604
40.5697598,-80.2560412,ChIJZ8q69cBnNIgRmALQPr5p2Qg,3000 Heights Road,Aliquippa,PA,15001,724-857-4041,# 2392
40.6092005,-80.2839742,ChIJaYTrmZhoNIgRaGK4RWllqTY,2719 Brodhead Rd,Aliquippa,PA,15001,724-378-4411,# 4055
40.5761444,-75.4813162,ChIJ0xuFTUs6xIkRVytG3zdJOQQ,1802 Lehigh Street,Allentown,PA,18103,610-797-1018,# 1304
40.6126832,-75.5354944,ChIJgyG9elE3xIkRhzuRW_AYaTY,1600 N Cedar Crest Blvd,Allentown,PA,18104,,# 16840
40.6384064,-75.4401172,ChIJ27wmINQ4xIkRrhKzBDMzo7w,912 Airport Center Dr,Allentown,PA,18109,,# 17462
40.5664164,-75.5606027,ChIJZQKikFkwxIkRdVKIgVCMOeM,749 N Krocks Rd,Allentown,PA,18106,,# 17680
40.6237248,-75.4465365,ChIJ_b2chDo5xIkRfi-irliiMfU,728 Union Boulevard,Allentown,PA,18109,610-432-6303,# 2020
40.5592824,-75.5678342,ChIJsWuUfE4wxIkRUeV0gwZ3YDQ,958 South Krocks Road,Allentown,PA,18106,610-530-7385,# 2267
40.5924344,-75.59007,ChIJiYQhQxYxxIkR-L01DOzzjqk,5801 Tilghman St.,Allentown,PA,18104,610-398-3228,# 4234
40.5979969,-75.5246325,ChIJPZm0rAc6xIkRJ9fTK93Hv6I,3010 Tilghman Street,Allentown,PA,18104,610-776-6551,# 461
40.5785799,-75.4542274,ChIJhelNPes7xIkRtALM2zdgvEg,315 West Emaus Avenue,Allentown,PA,18103,610-791-4404,# 858
40.6042477,-75.4940513,ChIJkT_xYIg5xIkRS_lI6nDPxUs,1601 W. Liberty Street,Allentown,PA,18102,610-820-9737,# 974
40.5993494,-79.9480807,ChIJG6k0xNiNNIgR-xkSpekpRaU,4849 William Flynn Hwy.,Allison Park,PA,15101,724-443-2418,# 7611
40.4819606,-78.4025746,ChIJMQQwOGyRy4kROmt3KtajIDo,200 East Plank Rd.,Altoona,PA,16602,814-944-9224,# 4013
40.139373,-75.2431205,ChIJkT5IlHy7xokRdgi-au8jJrk,7000 Butler Pike,Ambler,PA,19002,215-654-8914,# 10061
40.1566683,-75.216273,ChIJmR2keDq7xokRa4269u1zHpQ,272 E. Butler Ave.,Ambler,PA,19002,215-643-3974,# 8498
40.5888602,-80.2281666,ChIJ41d1wf5mNIgRoiu3HBzTFY4,300 8th St..,Ambridge,PA,15003,724-266-9194,# 4039
40.0111133,-75.2967549,ChIJjeYNxn3AxokR2x8cqCQUBOY,317 W. Lancaster Ave.,Ardmore,PA,19003,610-658-0737,# 1282
39.8665577,-75.4273258,ChIJ54eeFATmxokR9bf6BSdC_wY,5020 Pennell Rd.,Aston,PA,19014,610-497-2225,# 828
40.1288453,-75.431787,ChIJoSDrebOWxokR_juTYNMlZYs,2801 Egypt Rd.,Audubon,PA,19407,610-666-0512,# 5898
39.9989836,-75.2319536,ChIJYS4ZR1vHxokRjMoWdKpHsDM,101 W City Avenue,Bala Cynwyd,PA,19004,610-668-3890,# 5081
40.0213365,-75.2321801,ChIJTY2Eo7u4xokRSgdMPKrCQec,260 Rock Hill Rd.,Bala Cynwyd,PA,19004,610-667-5290,# 5346
40.8678337,-75.2038732,ChIJyYGDMmJkxIkRZMnAdhiYxoA,35 N. Main St.,Bangor,PA,18013,610-588-9425,# 1901
40.7735557,-80.3738871,ChIJDfl7fNxzNIgR0UZunhzOBpo,"2556 Constitution Blvd.,, Chippewa Mall",Beaver Falls,PA,15010,724-847-2190,# 4162
40.0177248,-78.4914436,ChIJn4l8MmJSyokRYXTrxI5JAjI,644 East Penn Street,Bedford,PA,15522,814-623-1973,# 1682
40.9106676,-77.7826207,ChIJqQKHgP2izokRN1jJXfilsOI,127 South Potter Street,Bellefonte,PA,16823,814-355-8244,# 1684
40.1397083,-79.8429248,ChIJBSxuTTAcNYgRiV9kMeUBtWc,975 Rostraver Rd.,Belle Vernon,PA,15012,724-929-9155,# 4077
40.4934355,-80.052379,ChIJyZozEv70NIgRym4cdm4FYIk,355 Lincoln Avenue,Bellevue,PA,15202,412-761-3000,# 4103
40.1298127,-74.9234804,ChIJAYsATIBSwYkRT6u0f8cRzJk,"2250 Bristol Rd., Corner Of Bristol Road And Hulmeville Road",Bensalem,PA,19020,215-757-5200,# 1281
40.135473,-74.9623403,ChIJ6xPNL6pSwYkRsgwt2OgrTNU,800 Rock Hill Dr,Bensalem,PA,19020,,# 16541
40.1353972,-74.9547983,ChIJW2HRNqZSwYkRy9o9clC45XY,3811 Neshaminy Blvd.,Bensalem,PA,19020,215-396-5690,# 1731
40.1092557,-74.9354453,ChIJZYEdKBNNwYkRINS7GWrm7co,3943 Hulmeville Rd,Bensalem,PA,19020,215-244-7002,# 2131
41.0503812,-76.2446079,ChIJaxBzqeGcxYkR2o8Md3MTz5o,700 West Front St.,Berwick,PA,18603,570-752-7462,# 1599
40.0471503,-75.4373405,ChIJzdrEqlmTxokRrS8havM21QI,550 Lancaster Avenue,Berwyn,PA,19312,610-644-7192,# 6999
40.3340413,-80.0245944,ChIJd2G3PZr5NIgRQ7RK63SEcZw,5190 Library Road,Bethel Park,PA,15102,412-833-6029,# 2447
