city,zipcode,population,young_population,old_population,income_median,no_of_competitors,weighted_scores,rank
Morrisville,19067,52519,2491,8465,106698.445,2.0,30.75,1.0
West Chester,19380,50501,2176,10443,98631.62199999999,8.0,34.25,2.0
Media,19063,35439,1921,8598,102313.065,3.0,36.0,3.0
Warminster,18974,40405,1416,11228,93569.06,9.0,42.0,4.0
Downingtown,19335,48272,2561,6685,99397.75099999999,5.0,50.25,5.0
Newtown,18940,29164,1539,5635,131435.521,3.0,52.75,6.0
Bensalem,19020,54850,3005,8600,89294.245,6.0,53.75,7.0
Southampton,18966,35147,1671,8111,92852.745,5.0,56.0,8.0
West Chester,19382,54748,2705,9260,86076.444,7.0,60.5,9.0
Langhorne,19047,33199,1591,6892,93459.4,4.0,67.0,10.0
Mechanicsburg,17050,38993,2795,7045,86295.406,6.0,70.0,12.0
Wayne,19087,32592,1708,5178,105484.54199999999,3.0,70.0,12.0
Doylestown,18901,27875,981,5826,108179.016,4.0,70.0,12.0
Phoenixville,19460,41615,2697,6132,89937.384,7.0,71.25,14.5
Coatesville,19320,55219,3464,8816,81612.642,3.0,71.25,14.5
Washington,15301,49238,2445,10973,80886.217,5.0,71.5,16.0
Newtown Square,19073,20421,1407,4915,126361.248,1.0,72.75,17.0
Havertown,19083,36110,2745,6050,88518.875,3.0,74.0,18.0
Ambler,19002,31166,1415,5604,98290.45,3.0,75.0,19.0
Canonsburg,15317,39823,2461,7240,83146.781,5.0,80.0,20.0
Philadelphia,19147,38809,2415,4687,93894.18199999999,3.0,80.75,21.0
Lansdale,19446,58570,2738,12526,78180.6,11.0,81.75,22.0
Springfield,19064,25356,1418,4794,109922.45800000001,11.0,82.75,23.0
Glenside,19038,31615,1983,5172,91586.66699999999,1.0,83.5,24.5
Glen Mills,19342,20069,546,5068,142053.08800000002,7.0,83.5,24.5
Norristown,19403,46794,2325,9090,79219.367,10.0,86.0,26.0
Philadelphia,19146,40635,2766,4200,92091.213,3.0,88.0,27.0
