Unnamed: 0,zipcode,household median,percent of household,family median,percent family,non-family median,percent non-family,weighted median,city,city rank,rank
1,15003,50317,41.1,67188,43.4,38076,35.6,63394.935,Ambridge,1.0,651.0
2,15004,72619,48.6,74167,53.8,47700,41.7,95085.58,Atlasburg,1.0,127.0
3,15005,71393,28.7,85577,31.6,41213,22.5,56805.047999999995,Baden,1.0,864.0
4,15006,106484,67.2,107135,83.0,0,0.0,160479.298,Bairdford,1.0,10.0
5,15007,63625,48.5,66250,64.3,0,26.1,73456.875,Bakerstown,1.0,398.0
6,15009,67303,30.2,94509,31.2,37585,27.5,60148.18900000001,Beaver,1.0,755.0
7,15010,61560,32.2,81256,29.1,33210,34.7,54991.685999999994,Beaver Falls,1.0,928.0
8,15012,60864,32.2,82273,32.1,36250,32.0,57607.84099999999,Belle Vernon,1.0,831.0
9,15014,41188,34.1,51500,25.2,32750,44.0,41433.108,Brackenridge,1.0,1369.0
10,15015,121389,31.0,144028,31.6,60893,29.3,100985.087,Bradfordwoods,1.0,89.0
11,15017,70812,35.0,102018,36.7,43097,32.5,76231.33099999999,Bridgeville,1.0,340.0
12,15018,35616,39.7,80724,53.6,23359,23.7,62943.699,Buena Vista,1.0,666.0
13,15019,46940,25.6,74821,35.4,25353,11.1,41317.457,Bulger,1.0,1373.0
14,15021,61371,37.5,73768,33.2,32143,41.7,60908.732,Burgettstown,1.0,730.0
15,15022,49726,29.0,68015,31.2,28853,25.2,42912.176,Charleroi,1.0,1335.0
16,15024,74146,30.4,100291,30.7,44315,28.9,66136.756,Cheswick,1.0,577.0
17,15025,63815,32.5,92625,30.9,36118,34.0,61641.12,Clairton,1.0,712.0
18,15026,82590,41.2,93456,37.9,59348,45.5,96450.244,Clinton,1.0,123.0
19,15027,56927,39.2,77167,31.0,26151,40.2,56749.856,Conway,1.0,867.0
20,15028,38750,47.1,53500,26.3,0,56.7,32321.75,McKeesport,5.0,1532.0
21,15030,54464,27.2,70568,13.4,34464,41.8,38676.272000000004,Creighton,1.0,1435.0
22,15031,58558,34.6,96133,73.3,0,16.0,90726.55699999999,Cuddy,1.0,162.0
