latitude,longitude,place_id,street,city,state,zip,phone,
40.602912,-75.4697192,ChIJeT2NrXw5xIkRk-Rzd8csdxY,541 HAMILTON ST,ALLENTOWN,PA,18101,484-705-1783,
40.6053603,-75.497005,ChIJS1Y4DYk5xIkR2n2Jhkesx3M,1702 W TILGHMAN ST,ALLENTOWN,PA,18104,610-435-3605,
40.5807496,-75.4565941,ChIJ1ZGJa-o7xIkRbW_qR8xPTM8,1855 S 5TH ST,ALLENTOWN,PA,18103,610-791-7796,
40.6187643,-75.4342321,ChIJraujU8s-xIkRVGTC6oiXDwI,1319 HANOVER AVE,ALLENTOWN,PA,18109,610-776-5214,
40.6410394,-75.3996135,ChIJTyG7IBA_xIkRRW0zam7jrSM,2240 SCHOENERSVILLE RD,BETHLEHEM,PA,18017,610-861-7494,
40.4795222,-78.4036853,ChIJTx4Wm2uRy4kRxDdq1BSEhqo,508 E PLANK RD,ALTOONA,PA,16602,814-944-3236,
39.8701859,-75.4292378,ChIJvTwTggHmxokRZhdldzAqlVQ,3620 CONCORD RD,ASTON,PA,19014,610-485-8102,
39.8720177,-75.3879435,ChIJ46hlqIDoxokRo8hZgY1hgvQ,4098 EDGMONT AVE,BROOKHAVEN,PA,19015,610-876-8815,
39.8561196,-75.367958,ChIJv3sjCN3nxokRZQJpdKszNTU,1 MEDICAL CENTER BLVD,CHESTER,PA,19013,610-876-5700,
39.8975614,-75.4845485,ChIJqxmKAp_vxokRUSuc_ep1-NM,51 BALTIMORE PIKE,GLEN MILLS,PA,19342,610-358-9725,
39.8348887,-75.7931952,ChIJySuX7xxUxokRgFGs0XOT-NY,600 GAP NEWPORT PIKE,AVONDALE,PA,19311,610-268-8110,
39.8613208,-75.6819899,ChIJ4bDE4vb4xokR7_uwDzrwGHc,840 E BALTIMORE PIKE,KENNETT SQUARE,PA,19348,610-444-2045,
40.7759181,-80.3812577,ChIJXxfyycNzNIgRSrEL-8RyzjA,2646 DARLINGTON RD,BEAVER FALLS,PA,15010,724-891-3512,
40.7001235,-80.2850204,ChIJWeOSgPBvNIgRThDP-4Vx4S4,100 RHODE ISLAND AVE,ROCHESTER,PA,15074,724-774-2105,
40.7933931,-80.1358364,ChIJN4etmGZ-NIgRnoKuCLnpOUo,234 S MAIN ST,ZELIENOPLE,PA,16063,724-452-7360,
40.6893058,-80.1024953,EioyMDI2MCBSdGUgMTksIENyYW5iZXJyeSBUd3AsIFBBIDE2MDY2LCBVU0EiMhIwChQKEgnV4YVeqWI0iBGKvyD9tkRj8xCkngEqFAoSCeMNuu56fTSIEaX3U2VmUuRb,20260 ROUTE 19,CRANBERRY TOWNSHIP,PA,16066,724-742-1040,
40.5176419,-80.2212779,ChIJASZTtKRdNIgRso1cirv4Wv8,6906 UNIVERSITY BLVD,MOON TOWNSHIP,PA,15108,412-269-2501,
40.1062891,-74.95056,ChIJyyFJ-jtNwYkRzSdIG2656RI,2435 STREET RD,BENSALEM,PA,19020,215-639-6711,
40.1398627,-74.8753793,ChIJ-63_yB9SwYkRNIS7WRcPY44,5200 NEW FALLS RD,LEVITTOWN,PA,19056,215-943-2448,
